"","SYMBOL","ENTREZID","ENSEMBL"
"613","NME2","4831","ENSG00000243678"
"614","OLR1","4973","ENSG00000173391"
"615","PA2G4","5036","ENSG00000170515"
"616","PAK1","5058","ENSG00000149269"
"617","PAX2","5076","ENSG00000075891"
"618","PCBP1","5093","ENSG00000169564"
"619","PDPK1","5170","ENSG00000140992"
"620","PFKFB3","5209","ENSG00000170525"
"621","PKM","5315","ENSG00000067225"
"622","PLAGL2","5326","ENSG00000126003"
"623","PPIA","5478","ENSG00000196262"
"624","PSMD11","5717","ENSG00000108671"
"625","PTMA","5757","ENSG00000187514"
"626","RPL10","6134","ENSG00000147403"
"627","RPL18A","6142","ENSG00000105640"
"628","RPL23A","6147","ENSG00000198242"
"629","RPS9","6203","ENSG00000170889"
"630","RPS9","6203","ENSG00000274646"
"631","RPS9","6203","ENSG00000275323"
"632","RPS9","6203","ENSG00000278081"
"633","RPS9","6203","ENSG00000274005"
"634","RPS9","6203","ENSG00000278270"
"635","RPS9","6203","ENSG00000277359"
"636","RPS9","6203","ENSG00000274626"
"637","RPS9","6203","ENSG00000277079"
"638","RPS9","6203","ENSG00000274950"
"639","RPS10","6204","ENSG00000124614"
"640","RPS15A","6210","ENSG00000134419"
"641","RRM2","6241","ENSG00000171848"
"642","SALL1","6299","ENSG00000103449"
"643","CXCL12","6387","ENSG00000107562"
"644","SHMT1","6470","ENSG00000176974"
"645","SHMT1","6470","ENSG00000284320"
"646","SLC2A5","6518","ENSG00000142583"
"647","SLC6A6","6533","ENSG00000131389"
"648","SLC7A2","6542","ENSG00000003989"
"650","SRM","6723","ENSG00000116649"
"651","SRP54","6729","ENSG00000100883"
"652","STAT5B","6777","ENSG00000173757"
"653","TACR3","6870","ENSG00000169836"
"654","TAGLN","6876","ENSG00000149591"
"655","PPP1R11","6992","ENSG00000204619"
